,Sun x,Sun y,Sun z,Magnetometer x,Magnetometer y,Magnetometer z,Earth x,Earth y,Earth z,Angular momentum of wheels x,Angular momentum of wheels y,Angular momentum of wheels z,Sun in view,Current fault
1222,0.0,0.0,0.0,1.2216348825514834e-06,-3.3036132953698067e-07,3.7132130703575633e-07,-6780381.5443082005,-883604.0985281781,820558.7789183088,2.0299860924525998e-06,7.286926231780633e-07,-1.613828256160057e-06,False,None
1223,0.0,0.0,0.0,1.3820615302079888e-06,-3.63784373627982e-07,4.20269232617375e-07,-6766483.914860939,-882141.2273210705,834075.6308612211,2.0323613498816005e-06,7.298852472325443e-07,-1.6168836221782365e-06,False,None
1224,0.0,0.0,0.0,1.2442647777713306e-06,-3.2271515047648494e-07,3.7931247861308035e-07,-6775327.020443387,-889274.2479214522,842186.7837533723,2.034735986810555e-06,7.310788440103921e-07,-1.6199420777241249e-06,False,None
1225,0.0,0.0,0.0,1.0423186048485437e-06,-2.778705469645835e-07,3.1700494524938157e-07,-6795482.675578969,-887126.3087985088,830213.8848557108,2.037109998421015e-06,7.322734121965449e-07,-1.6230036224351284e-06,False,None
1226,0.0,0.0,0.0,1.3424783324992334e-06,-3.365798454722305e-07,4.0869572393681145e-07,-6766154.168765193,-882624.896513837,861491.2547600924,2.0394833938361692e-06,7.334689527938609e-07,-1.6260682572021056e-06,False,None
1227,0.0,0.0,0.0,1.259050545829078e-06,-3.085445878827157e-07,3.8316674084446833e-07,-6770917.858878041,-892118.7539883394,867708.6432702029,2.0418561515646992e-06,7.346654741253451e-07,-1.6291359784011657e-06,False,None
1228,0.0,0.0,0.0,1.1894458845676063e-06,-2.9571951556797905e-07,3.6279858539648225e-07,-6777037.537775002,-893982.9914389809,862870.3390091455,2.044228268610311e-06,7.358629601315696e-07,-1.6322067879321083e-06,False,None
1229,0.0,0.0,0.0,1.1928704906342248e-06,-2.949880374270895e-07,3.630866914934886e-07,-6777001.109597733,-886475.4827446695,868462.8294130191,2.0465997477847807e-06,7.370614152456835e-07,-1.6352806855054578e-06,False,None
1230,0.0,0.0,0.0,1.3654137720945148e-06,-3.2806560657946794e-07,4.1328450251764156e-07,-6762972.952953962,-881007.7622554246,877487.3940188391,2.048970585886261e-06,7.382608483353541e-07,-1.6383576695053252e-06,False,None
1231,0.0,0.0,0.0,1.3986494619895833e-06,-3.3206353139503046e-07,4.251047860976134e-07,-6759071.488705095,-883793.594521996,885779.0891723805,2.0513407777824303e-06,7.394612497683534e-07,-1.6414377406793928e-06,False,None
