,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
25,[-0.71624088  0.34005204  0.6093821 ],[-0.8137524  -0.40541175 -0.41647129],[ 1.01986592e-10 -2.80489816e-71 -1.00000000e+00],[ 7.02421894e-70  1.55559750e-09 -3.83534930e-81],[ 7.62658666e-072 -6.90354404e-033 -5.50892798e-102],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
26,[-0.715574    0.34005055  0.61017662],[-0.8150935  -0.40387346 -0.4153418 ],[ 1.06065989e-10 -3.56755683e-71 -1.00000000e+00],[ 8.98710346e-70  1.68004530e-09 -5.25834481e-81],[ 9.28077822e-072 -7.45582755e-033 -7.77989679e-102],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
27,[-0.71490622  0.34005574  0.61096424],[-0.81623228 -0.40263823 -0.41430342],[ 1.10145519e-10 -4.49563465e-71 -1.00000000e+00],[ 1.13918244e-69  1.80927955e-09 -7.12325095e-81],[ 1.12102272e-071 -8.02935272e-033 -1.08473393e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
28,[-0.71421511  0.34004689  0.61175103],[-0.81748954 -0.40099889 -0.41341353],[ 1.14224983e-10 -5.61665737e-71 -1.00000000e+00],[ 1.43159199e-69  1.94330026e-09 -9.54279936e-81],[ 1.34479314e-071 -8.62411957e-033 -1.49456177e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
29,[-0.71355451  0.34004792  0.61255329],[-0.81878224 -0.39942204 -0.41238051],[ 1.18304512e-10 -6.96145052e-71 -1.00000000e+00],[ 1.78470261e-69  2.08210742e-09 -1.26527278e-80],[ 1.60294255e-071 -9.24012809e-033 -2.03658645e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
30,[-0.7128694   0.34005333  0.61333301],[-0.81996144 -0.39809279 -0.41132149],[ 1.22383910e-10 -8.56439307e-71 -1.00000000e+00],[ 2.20837766e-69  2.22570104e-09 -1.66153914e-80],[ 1.89928754e-071 -9.87737828e-033 -2.74670057e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
31,[-0.71220366  0.34004599  0.61410978],[-0.82116314 -0.39663347 -0.41033277],[ 1.26463308e-10  1.65072397e-17 -1.00000000e+00],[ 2.71367495e-69  2.37408110e-09 -2.16237838e-80],[ 2.23791718e-071 -1.05358701e-032 -3.66884338e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
32,[-0.71153114  0.34004614  0.61489658],[-0.82249169 -0.39501293 -0.40923368],[ 1.30542837e-10 -1.27015978e-70 -1.00000000e+00],[ 3.31294622e-69  2.52724763e-09 -2.79059970e-80],[ 2.62320247e-071 -1.12156037e-032 -4.85645077e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
33,[-0.71084592  0.34004135  0.61568669],[-0.82370182 -0.39347346 -0.4082817 ],[ 1.34622367e-10  1.65072410e-17 -1.00000000e+00],[ 4.01994156e-69  2.68520060e-09 -3.57301516e-80],[ 3.05980566e-071 -1.19165788e-032 -6.37410724e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
34,[-0.71016659  0.34005033  0.61646809],[-0.82490891 -0.39201209 -0.40724908],[ 1.38701699e-10  1.65072416e-17 -1.00000000e+00],[ 4.84991872e-69  2.84794003e-09 -4.54098290e-80],[ 3.55268973e-071 -1.26387957e-032 -8.29942013e-101],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
35,[-0.70948193  0.34004734  0.61725539],[-0.82607823 -0.3904577  -0.4063712 ],[ 1.42781162e-10 -1.65072423e-17 -1.00000000e+00],[ 5.81975767e-69  3.01546592e-09 -5.73100390e-80],[ 4.10712773e-071 -1.33822542e-032 -1.07251378e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
36,[-0.70879095  0.34005513  0.6180409 ],[-0.827371   -0.3889011  -0.40523223],[ 1.46860692e-10  1.65072430e-17 -1.00000000e+00],[ 6.94808023e-69  3.18777826e-09 -7.18537559e-80],[ 4.72871220e-071 -1.41469544e-032 -1.37615348e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
37,[-0.70812132  0.34005658  0.61880528],[-0.82863132 -0.3872829  -0.4042055 ],[ 1.50940156e-10 -1.65072436e-17 -1.00000000e+00],[ 8.25537506e-69  3.36487705e-09 -8.95290591e-80],[ 5.42336454e-071 -1.49328963e-032 -1.75390891e-100],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
